"receiver_player_id","receiver_player_name","posteam","season","numGames","totalEPA","avgEPA","totalTD","numTgt","numRec","numYards","numFD","FDperTgt","recPerGame","tgtPerGame","yardsPerGame","catchPct","YAC","YACperRec","aDoT","player","tgt_share","wr_rank","num_rz_opps","conversion","explosive_rate","player_position","avg_separation","avg_intended_air_yards","catch_percentage","yac_above_expected","third_down_targets","third_down_conversions","third_down_rate","EPA_rank","td_rank","tgt_rank","YPG_rank","conversion_rank","explosive_rank","sep_rank","intended_air_rank","catch_rank","third_down_rank","yacOE_rank","yac_rank","myRank","myRankNum","TE_tier"
"00-0027656","R.Gronkowski","NE",2016,8,35.1978982362614,0.926260479901617,3,38,25,540,19,0.5,3.125,4.75,67.5,0.657894736842105,227,9.08,13.9210526315789,"Rob Gronkowski",0.136200716845878,2,6,0.167,0.368421052631579,"TE",2.33510224696712,13.443253968254,67.6587301587302,2.90225169535774,14,9,0.642857142857143,0.933333333333333,0.75,0.625,0.983333333333333,0.275862068965517,0.982142857142857,0.15,0.983333333333333,0.533333333333333,0.883333333333333,1,1,0.828452380952381,2,1
"00-0033858","J.Smith","MIA",2024,17,59.7091696619141,0.537920447404632,8,111,88,884,57,0.513513513513513,5.17647058823529,6.52941176470588,52,0.792792792792793,510,5.79545454545455,4.88288288288288,"Jonnu Smith",0.174803149606299,2,18,0.389,0.135135135135135,"TE",3.43389778521605,5.34570652958153,81.836584961585,0.520680085480879,24,13,0.541666666666667,0.982142857142857,0.946428571428571,0.846153846153846,0.928571428571429,0.781818181818182,0.462962962962963,0.321428571428571,0.321428571428571,0.839285714285714,0.833333333333333,0.553571428571429,0.803571428571429,0.814150895400895,2,1
"00-0034753","M.Andrews","BAL",2021,17,56.0717765942933,0.354884661989198,9,158,107,1365,76,0.481012658227848,6.29411764705882,9.29411764705882,80.2941176470588,0.677215189873418,450,4.20560747663551,10.2875816993464,"Mark Andrews",0.236526946107784,1,27,0.333,0.208860759493671,"TE",3.16515387423966,10.4499174489273,70.7983293032313,0.3271621964312,32,15,0.46875,1,0.921875,1,1,0.596774193548387,0.883333333333333,0.40625,0.921875,0.65625,0.639344262295082,0.5625,0.34375,0.812135416666667,5,2
"00-0039338","B.Bowers","LV",2024,17,27.1055814055351,0.177160662781275,6,153,112,1194,61,0.398692810457516,6.58823529411765,9,70.2352941176471,0.73202614379085,596,5.32142857142857,6.03267973856209,"Brock Bowers",0.224011713030747,1,16,0.125,0.143790849673203,"TE",3.31773128833665,6.32409500579078,73.1585158101702,0.919339296361563,38,20,0.526315789473684,0.821428571428571,0.803571428571429,0.961538461538462,0.964285714285714,0.290909090909091,0.555555555555556,0.232142857142857,0.535714285714286,0.428571428571429,0.796296296296296,0.785714285714286,0.642857142857143,0.806931190154874,3,1
"00-0025418","G.Olsen","CAR",2016,16,23.7915376260324,0.180238921409336,5,132,80,1075,54,0.409090909090909,5,8.25,67.1875,0.606060606060606,352,4.4,10.8992248062016,"Greg Olsen",0.219633943427621,1,19,0.105,0.189393939393939,"TE",2.89594933537637,11.0297247593492,63.4086851993829,-0.893976247553976,37,16,0.432432432432432,0.783333333333333,0.7,1,0.966666666666667,0.103448275862069,0.732142857142857,0.616666666666667,0.9,0.35,0.4,0.266666666666667,0.666666666666667,0.806472007722008,3,1
"00-0033881","E.Engram","NYG",2018,11,20.5605015270111,0.316315408107863,3,65,45,579,22,0.338461538461538,4.09090909090909,5.90909090909091,52.6363636363636,0.692307692307692,388,8.62222222222222,5.296875,"Evan Engram",0.153301886792453,4,8,0.375,0.169230769230769,"TE",4.36970994011432,5.32080351631393,70.5594135802469,2.82345095023551,24,9,0.375,0.771929824561403,0.68421052631579,0.897959183673469,0.912280701754386,0.660714285714286,0.56140350877193,0.947368421052632,0.175438596491228,0.68421052631579,0.392857142857143,0.964912280701754,0.947368421052632,0.790388918725385,3,1
"00-0034351","D.Goedert","PHI",2024,10,19.3662372463054,0.372427639352026,2,52,42,496,20,0.384615384615385,4.2,5.2,49.6,0.807692307692308,257,6.11904761904762,6.59615384615385,"Dallas Goedert",0.165605095541401,3,9,0.222,0.230769230769231,"TE",3.95898428845227,5.72145428645429,82.2235172235172,1.13682598526573,12,6,0.5,0.714285714285714,0.589285714285714,0.807692307692308,0.910714285714286,0.509090909090909,0.87037037037037,0.678571428571429,0.428571428571429,0.857142857142857,0.648148148148148,0.839285714285714,0.928571428571429,0.788298738298738,4,1
"00-0030506","T.Kelce","KC",2019,16,62.7401307237229,0.461324490615609,5,136,97,1252,67,0.492647058823529,6.0625,8.5,78.25,0.713235294117647,410,4.22680412371134,9,"Travis Kelce",0.225913621262458,1,19,0.105,0.242647058823529,"TE",3.07208847904252,8.6542907778496,73.2219311476277,0.894016604990692,31,13,0.419354838709677,1,0.596774193548387,0.981481481481482,1,0.120689655172414,0.868852459016393,0.419354838709677,0.629032258064516,0.693548387096774,0.451612903225806,0.645161290322581,0.354838709677419,0.784780735256674,2,1
"00-0034753","M.Andrews","BAL",2019,15,46.5435205890883,0.474933883562125,10,98,64,852,45,0.459183673469388,4.26666666666667,6.53333333333333,56.8,0.653061224489796,291,4.546875,10.5612244897959,"Mark Andrews",0.221218961625282,1,15,0.533,0.224489795918367,"TE",2.9082360690673,10.115754597636,63.3904182873255,0.0887968377758723,36,17,0.472222222222222,0.951612903225806,0.967741935483871,0.944444444444444,0.903225806451613,0.931034482758621,0.80327868852459,0.338709677419355,0.854838709677419,0.419354838709677,0.645161290322581,0.370967741935484,0.451612903225806,0.784205153064222,3,1
"00-0027696","J.Graham","SEA",2016,16,37.2811844822157,0.392433520865428,6,95,65,923,45,0.473684210526316,4.0625,5.9375,57.6875,0.68421052631579,325,5,9.30526315789474,"Jimmy Graham",0.155993431855501,1,20,0.2,0.273684210526316,"TE",2.62154821075669,10.3213013214855,68.7525632262474,-0.494555412524381,24,12,0.5,0.95,0.75,0.708333333333333,0.933333333333333,0.362068965517241,0.946428571428571,0.383333333333333,0.816666666666667,0.583333333333333,0.5,0.5,0.766666666666667,0.780238095238095,4,1
