"receiver_player_id","receiver_player_name","posteam","season","numGames","totalEPA","avgEPA","totalTD","numTgt","numRec","numYards","numFD","FDperTgt","recPerGame","tgtPerGame","yardsPerGame","catchPct","YAC","YACperRec","aDoT","player","tgt_share","wr_rank","num_rz_opps","conversion","explosive_rate","player_position","avg_separation","avg_intended_air_yards","catch_percentage","yac_above_expected","third_down_targets","third_down_conversions","third_down_rate","EPA_rank","tgt_rank","YPG_rank","td_rank","conversion_rank","explosive_rank","sep_rank","intended_air_rank","catch_rank","third_down_rank","first_down_rank","yacOE_rank","YACperRec_rank","myRank","myRankNum","qbTier"
"00-0026189","D.Jackson","TB",2018,12,14.0001565196953,0.189191304320207,5,74,41,774,31,0.418918918918919,3.41666666666667,6.16666666666667,64.5,0.554054054054054,181,4.41463414634146,19.2027027027027,"DeSean Jackson",0.139886578449905,2,5,0,0.256756756756757,"WR",2.88186203375959,17.9537592950093,57.4436341103008,0.0758106193427029,13,7,0.538461538461538,0.46875,0.512396694214876,0.8375,0.74375,0,0.852564102564103,0.5375,0.975,0.275,0.78125,0.6625,0.383647798742138,0.6125,0.629843120894257,38,8
"00-0036252","M.Pittman","IND",2022,16,20.6142690107263,0.145170908526242,4,142,99,925,52,0.366197183098592,6.1875,8.875,57.8125,0.697183098591549,344,3.47474747474747,6.98581560283688,"Michael Pittman Jr.",0.224683544303797,1,15,0.267,0.161971830985915,"WR",2.78487250249221,7.48299703550734,69.2016702638378,-0.0738085897504306,44,16,0.363636363636364,0.402684563758389,0.863636363636364,0.798657718120805,0.604026845637584,0.692857142857143,0.375,0.416107382550336,0.181208053691275,0.751677852348993,0.328859060402685,0.469798657718121,0.295302013422819,0.369127516778524,0.62744432580842,34,8
"00-0026901","M.Wallace","BAL",2016,16,34.2859636879811,0.293042424683599,4,117,72,1019,43,0.367521367521368,4.5,7.3125,63.6875,0.615384615384615,427,5.93055555555556,12.1896551724138,"Mike Wallace",0.16361071932299,3,10,0.2,0.172413793103448,"WR",2.69852492737405,12.6756655957708,60.0138514104031,1.29656402294371,36,13,0.361111111111111,0.670967741935484,0.584905660377358,0.838709677419355,0.483870967741935,0.462585034013605,0.533783783783784,0.567741935483871,0.574193548387097,0.548387096774194,0.337662337662338,0.496774193548387,0.903225806451613,0.87741935483871,0.626564586497636,32,8
"00-0033839","D.Westbrook","JAX",2018,16,22.027247968129,0.213856776389602,5,103,66,715,40,0.388349514563107,4.125,6.4375,44.6875,0.640776699029126,360,5.45454545454545,8.43564356435643,"Dede Westbrook",0.174280879864636,1,15,0.2,0.16504854368932,"WR",3.571025250606,8.29581034679969,63.2000856467726,1.16484715501294,33,19,0.575757575757576,0.5,0.71900826446281,0.64375,0.59375,0.350993377483444,0.416666666666667,0.91875,0.2125,0.5125,0.9125,0.54375,0.79874213836478,0.78125,0.626547865013774,39,8
"00-0034521","A.Lazard","NYJ",2024,12,29.9262321103569,0.490593969022245,6,61,37,530,29,0.475409836065574,3.08333333333333,5.08333333333333,44.1666666666667,0.60655737704918,155,4.18918918918919,11.2459016393443,"Allen Lazard",0.127615062761506,3,12,0.333,0.213114754098361,"WR",2.53039488392528,9.74891798941799,60.1653439153439,0.310951756686431,19,10,0.526315789473684,0.868421052631579,0.458015267175573,0.598684210526316,0.822368421052632,0.662068965517241,0.65034965034965,0.243421052631579,0.348684210526316,0.394736842105263,0.822368421052632,0.894736842105263,0.460526315789474,0.578947368421053,0.625765272794702,43,8
"00-0037261","K.Shakir","BUF",2023,16,43.2039825909567,0.939217012846885,2,46,39,611,26,0.565217391304348,2.4375,2.875,38.1875,0.847826086956522,282,7.23076923076923,8.93333333333333,"Khalil Shakir",0.076158940397351,5,3,0.333,0.282608695652174,"WR",3.79863785764992,7.32944444444444,84.8888888888889,1.87358848920027,11,9,0.818181818181818,1,0.328571428571429,0.547945205479452,0.349315068493151,0.711111111111111,0.921428571428571,0.910958904109589,0.13013698630137,0.986301369863014,1,0.979452054794521,0.882758620689655,0.965753424657534,0.625297544920833,45,8
"00-0028237","C.Hogan","NE",2016,15,27.8681627041587,0.480485563864806,4,58,38,680,23,0.396551724137931,2.53333333333333,3.86666666666667,45.3333333333333,0.655172413793103,241,6.3421052631579,13.7931034482759,"Chris Hogan",0.108614232209738,5,10,0.1,0.275862068965517,"WR",3.27285078779747,13.3741261631089,66.195037401934,0.18979094905106,15,8,0.533333333333333,0.896774193548387,0.283018867924528,0.612903225806452,0.567741935483871,0.285714285714286,0.939189189189189,0.845161290322581,0.645161290322581,0.690322580645161,0.863636363636364,0.638709677419355,0.709677419354839,0.92258064516129,0.623778286807806,33,8
"00-0027902","D.Bryant","DAL",2017,16,-10.8097489879054,-0.0818920377871622,7,132,69,838,44,0.333333333333333,4.3125,8.25,52.375,0.522727272727273,266,3.85507246376812,11.6212121212121,"Dez Bryant",0.250950570342205,1,20,0.3,0.151515151515152,"WR",2.30657946379689,11.9520907361157,53.0993358493359,1.93454849400816,38,13,0.342105263157895,0.225165562913907,0.929824561403509,0.754966887417219,0.801324503311258,0.723404255319149,0.401408450704225,0.278145695364238,0.56953642384106,0.324503311258278,0.350993377483444,0.33112582781457,0.940397350993378,0.506666666666667,0.623639494221048,39,8
"00-0035659","T.McLaurin","WAS",2021,17,12.1758144038601,0.0936601107989235,5,130,77,1053,47,0.361538461538462,4.52941176470588,7.64705882352941,61.9411764705882,0.592307692307692,307,3.98701298701299,13.1307692307692,"Terry McLaurin",0.218855218855219,1,9,0.333,0.207692307692308,"WR",2.5332656076121,12.9530948218448,59.7594072594073,0.879711402254175,33,8,0.242424242424242,0.357142857142857,0.879194630872483,0.845238095238095,0.607142857142857,0.708074534161491,0.662420382165605,0.261904761904762,0.75,0.386904761904762,0.178571428571429,0.464285714285714,0.702380952380952,0.51497005988024,0.623317755636096,45,8
"00-0033040","T.Hill","MIA",2024,17,27.0866979962611,0.220217056880172,6,123,81,959,54,0.439024390243902,4.76470588235294,7.23529411764706,56.4117647058824,0.658536585365854,292,3.60493827160494,11.2213114754098,"Tyreek Hill",0.193700787401575,1,20,0.25,0.195121951219512,"WR",3.14237078129053,11.7718275712995,65.2235772357724,-0.232712026484905,39,14,0.358974358974359,0.519736842105263,0.709923664122137,0.743421052631579,0.638157894736842,0.517241379310345,0.524475524475524,0.638157894736842,0.638157894736842,0.552631578947368,0.322368421052632,0.782894736842105,0.223684210526316,0.460526315789474,0.62299933226008,44,8
