name,season,team,position,sacks,qb_hits,tfls,forced_fumbles,third_down_pressures,def_snaps,games_played,snap_pct,sacks_per_game,qb_hits_per_game,pressure_rate,tfls_per_game,composite_rank,ranking,tier
D.Hunter,2016,MIN,DE,12.5,19,11,1,12,600,16,0.578125,0.78125,1.1875,5.25,0.6875,0.825026520522049,15,3
B.Irvin,2016,OAK,OLB,7,25,9,6,14,997,17,0.888823529411765,0.411764705882353,1.47058823529412,3.20962888665998,0.529411764705882,0.82184567331579,16,3
C.Dunlap,2016,CIN,DE,8,23,7,3,13,840,16,0.7675,0.5,1.4375,3.69047619047619,0.4375,0.809597252634062,17,3
T.Suggs,2016,BAL,OLB,8,16,11,3,11,696,15,0.709333333333333,0.533333333333333,1.06666666666667,3.44827586206897,0.733333333333333,0.808604814345626,18,3
C.Jordan,2016,NO,DE,7.5,24,17,1,10,963,16,0.92,0.46875,1.5,3.27102803738318,1.0625,0.793114776844682,19,3
E.Griffen,2016,MIN,DE,8,22,9,2,7,888,16,0.859375,0.5,1.375,3.37837837837838,0.5625,0.79201661348673,20,3
B.Orakpo,2016,TEN,OLB,10.5,19,13,1,7,867,16,0.791875,0.65625,1.1875,3.40253748558247,0.8125,0.791872450648926,21,4
O.Vernon,2016,NYG,DE,8.5,23,17,1,8,1111,17,0.944117647058824,0.5,1.35294117647059,2.83528352835284,1,0.785307648962082,22,4
B.Graham,2016,PHI,DE,5.5,22,14,2,4,764,16,0.748125,0.34375,1.375,3.59947643979058,0.875,0.770202535858005,23,4
W.Mercilus,2016,HOU,OLB,7.5,22,13,1,15,1012,17,0.915294117647059,0.441176470588235,1.29411764705882,2.91501976284585,0.764705882352941,0.768519201173035,24,4
D.Ford,2016,KC,OLB,10,17,12,1,8,856,16,0.776875,0.625,1.0625,3.15420560747664,0.75,0.767289986791241,25,4
M.Ingram,2016,SD,OLB,8,19,10,4,15,959,32,0.4490625,0.25,0.59375,2.81543274244004,0.3125,0.766305377745338,26,4
A.Hicks,2016,CHI,DE,7,17,11,2,12,930,16,0.87,0.4375,1.0625,2.58064516129032,0.6875,0.74103934103487,27,4
S.Ray,2016,DEN,OLB,8,21,6,1,14,666,16,0.585625,0.5,1.3125,4.35435435435435,0.375,0.730040080706729,28,4
Y.Ngakoue,2016,JAX,DE,8,14,6,4,9,706,16,0.649375,0.5,0.875,3.11614730878187,0.375,0.729821567563688,29,4
R.Ayers,2016,TB,DE,6.5,19,7,1,11,576,12,0.711666666666667,0.541666666666667,1.58333333333333,4.42708333333333,0.583333333333333,0.727858581451994,30,4
J.Pierre-Paul,2016,NYG,DE,7,16,7,3,7,792,12,0.91,0.583333333333333,1.33333333333333,2.9040404040404,0.583333333333333,0.717818426638254,31,4
J.Clowney,2016,HOU,DE,6,17,16,1,17,875,16,0.846875,0.375,1.0625,2.62857142857143,1,0.714283885314041,32,4
B.Robison,2016,MIN,DE,7.5,14,7,3,9,838,16,0.808125,0.46875,0.875,2.56563245823389,0.4375,0.708681110076409,33,4
A.Branch,2016,NE,DE,7,14,16,3,6,1574,36,0.646666666666667,0.194444444444444,0.388888888888889,1.33418043202033,0.444444444444444,0.65005295481896,34,4
A.Branch,2016,MIA,DE,7,14,16,3,6,1574,36,0.646666666666667,0.194444444444444,0.388888888888889,1.33418043202033,0.444444444444444,0.65005295481896,35,4
C.Johnson,2016,CAR,DE,7,20,5,5,2,893,45,0.290222222222222,0.155555555555556,0.444444444444444,3.02351623740202,0.111111111111111,0.642706127484566,36,5
C.Johnson,2016,CLE,OLB,7,20,5,5,2,893,45,0.290222222222222,0.155555555555556,0.444444444444444,3.02351623740202,0.111111111111111,0.642706127484566,37,5
J.Peppers,2016,GB,OLB,7.5,11,5,2,11,719,19,0.577894736842105,0.394736842105263,0.578947368421053,2.57301808066759,0.263157894736842,0.636847959447152,38,5
B.Mayowa,2016,DAL,DE,6,9,8,1,5,406,14,0.446428571428571,0.428571428571429,0.642857142857143,3.69458128078818,0.571428571428571,0.618489626882854,39,5
L.David,2016,TB,OLB,5,8,17,4,4,1042,16,0.98,0.3125,0.5,1.24760076775432,1.0625,0.606411986972081,40,5
N.Spence,2016,TB,DE,5.5,12,2,3,11,572,16,0.539375,0.34375,0.75,3.05944055944056,0.125,0.604354332650057,41,5
W.Young,2016,CHI,OLB,7.5,9,8,1,5,714,16,0.664375,0.46875,0.5625,2.3109243697479,0.5,0.599434071327299,42,5
L.Floyd,2016,CHI,OLB,7,9,6,1,4,536,12,0.653333333333333,0.583333333333333,0.75,2.98507462686567,0.5,0.586778026199392,43,5
J.Jones,2016,MIA,DE,4.5,18,7,3,8,1082,67,0.232089552238806,0.0671641791044776,0.26865671641791,2.07948243992606,0.104477611940299,0.564704170873055,44,5
J.Jones,2016,PIT,OLB,4.5,18,7,3,8,1082,67,0.232089552238806,0.0671641791044776,0.26865671641791,2.07948243992606,0.104477611940299,0.564704170873055,45,5
S.Tuitt,2016,PIT,DE,4,14,8,2,5,949,17,0.866470588235294,0.235294117647059,0.823529411764706,1.89673340358272,0.470588235294118,0.55455800295123,46,5
A.Brooks,2016,SF,OLB,6,8,10,1,8,920,16,0.7975,0.375,0.5,1.52173913043478,0.625,0.550847790259449,47,5
J.Hughes,2016,BUF,OLB,6,11,8,1,8,940,22,0.638181818181818,0.272727272727273,0.5,1.80851063829787,0.363636363636364,0.549717090195223,48,5
J.Hughes,2016,TB,DE,6,11,8,1,8,940,22,0.638181818181818,0.272727272727273,0.5,1.80851063829787,0.363636363636364,0.549717090195223,49,5
J.Harrison,2016,PIT,OLB,5,9,9,2,9,761,31,0.381290322580645,0.161290322580645,0.290322580645161,1.83968462549277,0.290322580645161,0.546490408035997,50,5
M.Wilkerson,2016,NYJ,DE,4.5,12,10,1,1,846,15,0.864,0.3,0.8,1.95035460992908,0.666666666666667,0.538161207450225,51,6
P.McPhee,2016,CHI,OLB,4,9,5,1,5,274,9,0.462222222222222,0.444444444444444,1,4.74452554744525,0.555555555555556,0.535525914615674,52,6
J.Houston,2016,KC,OLB,4,6,6,1,9,351,6,0.8,0.666666666666667,1,2.84900284900285,1,0.513402764144884,53,6
E.Dumervil,2016,BAL,OLB,3,9,1,2,8,272,8,0.4925,0.375,1.125,4.41176470588235,0.125,0.510477181099823,54,6
C.Barwin,2016,PHI,DE,5,10,6,1,4,709,16,0.695,0.3125,0.625,2.11565585331453,0.375,0.510333581754947,55,6
K.Ealy,2016,CAR,DE,5,7,5,2,7,623,16,0.580625,0.3125,0.4375,1.92616372391653,0.3125,0.507269343094951,56,6
C.Matthews,2016,GB,OLB,5,9,7,1,6,678,18,0.572777777777778,0.277777777777778,0.5,2.06489675516224,0.388888888888889,0.50228520618994,57,6
C.Matthews,2016,ATL,DE,5,9,7,1,6,678,18,0.572777777777778,0.277777777777778,0.5,2.06489675516224,0.388888888888889,0.50228520618994,58,6
R.Mathis,2016,IND,OLB,5,5,5,3,7,535,14,0.562142857142857,0.357142857142857,0.357142857142857,1.86915887850467,0.357142857142857,0.495794984120592,59,6
C.Baker,2016,WAS,DE,3.5,10,7,2,3,782,16,0.713125,0.21875,0.625,1.72634271099744,0.4375,0.477203687080119,60,6
C.Long,2016,NE,DE,4,10,7,1,8,739,19,0.593684210526316,0.210526315789474,0.526315789473684,1.89445196211096,0.368421052631579,0.468943487112371,61,6
J.Simon,2016,HOU,OLB,3.5,10,4,1,6,519,11,0.718181818181818,0.318181818181818,0.909090909090909,2.60115606936416,0.363636363636364,0.467809612098739,62,6
D.Taylor,2016,DET,DE,4.5,10,4,1,5,716,17,0.649411764705882,0.264705882352941,0.588235294117647,2.02513966480447,0.235294117647059,0.455684874153246,63,6
R.Quinn,2016,LA,DE,4,6,2,2,3,370,9,0.583333333333333,0.444444444444444,0.666666666666667,2.7027027027027,0.222222222222222,0.445272087850831,64,6
J.Crick,2016,DEN,DE,3,13,4,2,6,942,16,0.823125,0.1875,0.8125,1.69851380042463,0.25,0.445044654833781,65,6
J.Collins,2016,CLE,OLB,3,8,10,2,8,1617,26,0.888461538461538,0.115384615384615,0.307692307692308,0.680272108843537,0.384615384615385,0.439416166327825,66,6
K.Wright,2016,SEA,OLB,4,8,12,1,3,1179,29,0.604827586206897,0.137931034482759,0.275862068965517,1.01781170483461,0.413793103448276,0.434981810690612,67,6
A.Okafor,2016,ARI,OLB,3.5,6,3,1,4,230,15,0.231333333333333,0.233333333333333,0.4,4.1304347826087,0.2,0.433713157862847,68,6
W.Gholston,2016,TB,DE,3,7,9,1,4,585,14,0.633571428571429,0.214285714285714,0.5,1.70940170940171,0.642857142857143,0.41951951624435,69,6
S.Richardson,2016,NYJ,DE,1.5,9,13,1,2,761,15,0.782,0.1,0.6,1.37976346911958,0.866666666666667,0.389548551277857,70,6
A.Chickillo,2016,PIT,OLB,2.5,7,3,2,2,316,16,0.30625,0.15625,0.4375,3.00632911392405,0.1875,0.389164133511936,71,7
T.Davis,2016,CAR,OLB,3,9,7,2,5,1707,45,0.552444444444444,0.0666666666666667,0.2,0.70298769771529,0.155555555555556,0.366117733201712,72,7
D.Jones,2016,GB,OLB,2.5,17,9,1,5,2422,93,0.380645161290323,0.0268817204301075,0.182795698924731,0.805119735755574,0.0967741935483871,0.343606518340786,73,7
D.Jones,2016,TEN,DE,2.5,17,9,1,5,2422,93,0.380645161290323,0.0268817204301075,0.182795698924731,0.805119735755574,0.0967741935483871,0.343606518340786,74,7
N.Bradham,2016,PHI,OLB,2,3,10,2,5,989,16,0.968125,0.125,0.1875,0.505561172901921,0.625,0.342633147459901,75,7
C.Marsh,2016,SEA,OLB,3,5,5,1,7,439,18,0.362222222222222,0.166666666666667,0.277777777777778,1.82232346241458,0.277777777777778,0.342312078137686,76,7
P.Kruger,2016,NO,DE,1.5,9,6,1,4,569,15,0.581333333333333,0.1,0.6,1.84534270650264,0.4,0.334333581754947,77,7
R.Ninkovich,2016,NE,OLB,4,5,3,1,5,565,15,0.583333333333333,0.266666666666667,0.333333333333333,1.5929203539823,0.2,0.333633493292616,78,7
M.Smith,2016,OAK,OLB,2.5,6,6,2,3,1188,32,0.5628125,0.078125,0.1875,0.715488215488216,0.1875,0.295852691575944,79,7
M.Smith,2016,PHI,DE,2.5,6,6,2,3,1188,32,0.5628125,0.078125,0.1875,0.715488215488216,0.1875,0.295852691575944,80,7
M.Smith,2016,TEN,DE,2.5,6,6,2,3,1188,32,0.5628125,0.078125,0.1875,0.715488215488216,0.1875,0.295852691575944,81,7
E.Harold,2016,SF,OLB,3,6,3,1,3,690,16,0.5975,0.1875,0.375,1.30434782608696,0.1875,0.288608336059912,82,7
D.Davis,2016,KC,DE,2,5,7,1,6,787,16,0.704375,0.125,0.3125,0.889453621346887,0.4375,0.288451872856606,83,7
L.Guy,2016,BAL,DE,1,9,5,1,4,486,16,0.458125,0.0625,0.5625,2.05761316872428,0.3125,0.274994468074793,84,7
