"","player_name","season","team","games","total_attempts","total_completions","total_passing_yards","total_passing_tds","total_interceptions","completion_pct","yards_per_attempt","yards_per_game","total_passing_epa","pass_epa_per_att","avg_cpoe","td_pct","int_pct","total_sacks","sack_rate","avg_time_to_throw","total_carries","total_rushing_yards","total_rushing_tds","rushing_yards_per_carry","total_fantasy_points","fantasy_points_per_game"
"89","J.Allen",2023,"BUF",19,648,432,4695,33,18,66.6666666666667,7.24537037037037,247.105263157895,100.000748537766,0.154322142805195,0.63569387405468,5.09259259259259,2.77777777777778,26,3.85756676557863,2.86018232127026,131,670,18,5.11450381679389,458.8,24.1473684210526
"90","J.Allen",2024,"BUF",19,565,365,4367,32,6,64.6017699115044,7.72920353982301,229.842105263158,150.465796030022,0.266311143415968,0.915999169299591,5.66371681415929,1.06194690265487,19,3.25342465753425,2.8582665989569,131,636,14,4.85496183206107,438.28,23.0673684210526
"91","J.Brissett",2022,"CLE",14,369,236,2608,12,6,63.9566395663957,7.06775067750678,186.285714285714,19.6926323235028,0.0533675672723653,4.41118910182069,3.2520325203252,1.6260162601626,24,6.10687022900763,2.89729716480542,49,243,2,4.95918367346939,168.62,12.0442857142857
"92","J.Brissett",2023,"WAS",2,23,18,224,3,0,78.2608695652174,9.73913043478261,112,16.3757347961364,0.711988469397234,NA,13.0434782608696,0,0,0,NA,3,19,0,6.33333333333333,22.86,11.43
"93","J.Brissett",2024,"NE",7,161,95,826,2,1,59.0062111801242,5.1304347826087,118,-38.1676783554485,-0.237066325189121,-0.238854146512466,1.24223602484472,0.62111801242236,18,10.0558659217877,2.88402255190797,15,62,0,4.13333333333333,45.24,6.46285714285714
"94","J.Browning",2023,"CIN",9,243,171,1936,12,7,70.3703703703704,7.96707818930041,215.111111111111,22.299077136491,0.0917657495328847,3.46216709365223,4.93827160493827,2.88065843621399,24,8.98876404494382,2.71154120782692,27,127,3,4.7037037037037,143.44,15.9377777777778
"95","J.Browning",2024,"CIN",2,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,2,-2,0,-1,-0.2,-0.1
"96","J.Burrow",2022,"CIN",19,715,486,5196,39,14,67.972027972028,7.26713286713287,273.473684210526,102.902939841739,0.143920195582852,2.43043138984391,5.45454545454545,1.95804195804196,51,6.6579634464752,2.54329353105348,90,327,6,3.63333333333333,406.54,21.3968421052632
"97","J.Burrow",2023,"CIN",10,365,244,2309,15,6,66.8493150684932,6.32602739726027,230.9,6.09503705904687,0.0166987316686216,1.1411738182484,4.10958904109589,1.64383561643836,24,6.16966580976864,2.52809152163025,31,88,0,2.83870967741935,147.16,14.716
"98","J.Burrow",2024,"CIN",17,652,460,4918,43,9,70.5521472392638,7.54294478527607,289.294117647059,117.020955424456,0.179479992982294,4.77023641674611,6.59509202453988,1.38036809815951,48,6.85714285714286,2.70459138764036,42,201,2,4.78571428571429,372.82,21.9305882352941
"99","J.Daniels",2024,"WAS",20,594,406,4390,30,10,68.3501683501683,7.39057239057239,219.5,89.8484918910235,0.151260087358625,1.52500110050651,5.05050505050505,1.68350168350168,51,7.90697674418605,2.67947991161951,183,1026,7,5.60655737704918,428.2,21.41
"100","J.Dobbs",2022,"TEN",2,68,40,411,2,2,58.8235294117647,6.04411764705882,205.5,-8.9746365388331,-0.131979949100487,-0.546381195676101,2.94117647058824,2.94117647058824,6,8.10810810810811,2.9201282051282,8,44,0,5.5,20.84,10.42
