"","player_name","week","season","team","opponent_team","carries","rushing_yards","rushing_tds","yards_per_carry","rushing_epa","rush_epa_per_att","rushing_fumbles","rushing_fumbles_lost","rush_efficiency","ryoe_per_att","yards_before_contact","percent_attempts_gte_eight_defenders","targets","receptions","receiving_yards","receiving_tds","catch_rate","target_share","air_yards_share","receiving_air_yards","receiving_yards_after_catch","rec_epa_per_target","yards_per_target","yards_per_reception","avg_separation","yac_above_expected","total_touches","total_yards","total_tds","fantasy_points","fantasy_points_ppr"
"66","J.McKinnon",4,2022,"KC","TB",2,-1,0,-0.5,-1.681580971519,-0.840790485759499,0,0,NA,NA,NA,NA,1,1,1,0,100,0.0294117647058824,-0.0118110236220472,-3,4,-0.118811225896934,1,1,NA,NA,3,0,0,0,1
"67","J.McKinnon",5,2022,"KC","LV",8,53,0,6.625,1.65510508976877,0.206888136221096,0,0,NA,NA,NA,NA,3,2,19,0,66.6666666666667,0.0714285714285714,0.0145985401459854,4,17,0.0382006219807394,6.33333333333333,9.5,NA,NA,10,72,0,7.2,9.2
"68","J.McKinnon",6,2022,"KC","BUF",2,1,0,0.5,-2.18401462538168,-1.09200731269084,0,0,NA,NA,NA,NA,3,3,29,0,100,0.0857142857142857,-0.0104166666666667,-2,31,-0.454813179640381,9.66666666666667,9.66666666666667,NA,NA,5,30,0,3,6
"69","J.McKinnon",7,2022,"KC","SF",2,12,0,6,0.53005173522979,0.265025867614895,0,0,NA,NA,NA,NA,3,2,36,0,66.6666666666667,0.0882352941176471,0.00769230769230769,2,37,1.28573136765044,12,18,NA,NA,4,48,0,4.8,6.8
"70","J.McKinnon",9,2022,"KC","TEN",3,4,0,1.33333333333333,-0.877057359437458,-0.292352453145819,0,0,NA,NA,NA,NA,8,6,40,0,75,0.129032258064516,0.0091743119266055,4,48,-0.213936087689945,5,6.66666666666667,NA,NA,9,44,0,4.4,10.4
"71","J.McKinnon",10,2022,"KC","JAX",1,2,0,2,-0.321848759020213,-0.321848759020213,0,0,NA,NA,NA,NA,8,6,56,0,75,0.228571428571429,0.104651162790698,27,44,0.027408802685386,7,9.33333333333333,NA,NA,7,58,0,5.8,11.8
"72","J.McKinnon",11,2022,"KC","LAC",6,24,0,4,-0.252286541741341,-0.0420477569568902,0,0,NA,NA,NA,NA,1,1,0,0,100,0.032258064516129,-0.0154798761609907,-5,2,-4.8564055825118,0,0,NA,NA,7,24,0,0.4,1.4
"73","J.McKinnon",12,2022,"KC","LA",0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,6,3,26,0,50,0.162162162162162,0,0,32,-0.206594458609762,4.33333333333333,8.66666666666667,NA,NA,3,26,0,2.6,5.6
"74","J.McKinnon",13,2022,"KC","CIN",8,51,0,6.375,2.06822657011799,0.258528321264748,0,0,NA,NA,NA,NA,2,2,9,1,100,0.0869565217391304,-0.0168067226890756,-4,13,1.114039201173,4.5,4.5,NA,NA,10,60,1,12,14
"75","J.McKinnon",14,2022,"KC","DEN",6,22,0,3.66666666666667,-0.132040450582281,-0.0220067417637135,0,0,NA,NA,NA,NA,9,7,112,2,77.7777777777778,0.214285714285714,0.0204081632653061,6,130,1.20404953931251,12.4444444444444,16,NA,NA,13,134,2,25.4,32.4
"76","J.McKinnon",15,2022,"KC","HOU",10,52,1,5.2,-0.821478412137367,-0.0821478412137367,0,0,3.77461538461538,1.2286960848632,24.8834704724624,0,8,8,70,1,100,0.195121951219512,-0.039647577092511,-9,79,0.475288010087981,8.75,8.75,NA,NA,18,122,2,26.2,34.2
"77","J.McKinnon",16,2022,"KC","SEA",5,7,0,1.4,-3.49088669271441,-0.698177338542882,0,0,NA,NA,NA,NA,3,3,31,1,100,0.111111111111111,0.0404040404040404,8,23,1.24576973395112,10.3333333333333,10.3333333333333,NA,NA,8,38,1,9.8,12.8
