player_id,player_name,position,team,height,weight,years_exp,rookie_year,birth_date,college
00-0032144,Melvin Gordon,RB,BAL,73,215,8,2015,1993-04-13,Wisconsin
00-0032145,Cameron Erving,OL,NO,77,313,8,2015,1992-08-23,Florida State
00-0032146,Bud Dupree,LB,ATL,76,269,8,2015,1993-02-12,Kentucky
00-0032150,Steven Nelson,DB,HOU,71,194,8,2015,1993-01-22,Oregon State
00-0032151,Jon Feliciano,OL,SF,76,323,8,2015,1992-02-10,Miami
00-0032156,Trevor Siemian,QB,NYJ,75,220,8,2015,1991-12-26,Northwestern
00-0032162,T.Y. McGill,DL,SF,72,299,8,2015,1992-11-23,North Carolina State
00-0032164,Arik Armstead,DL,SF,79,292,8,2015,1993-11-15,Oregon
00-0032165,Marcus Peters,DB,LV,72,197,8,2015,1993-01-09,Washington
00-0032195,Ronald Darby,DB,BAL,71,193,8,2015,1994-01-02,Florida State
00-0032197,Randy Gregory,LB,SF,77,255,8,2015,1992-11-23,Nebraska
00-0032200,Ty Montgomery,WR,NE,72,216,8,2015,1993-01-22,Stanford
00-0032203,Andrus Peat,OL,NO,79,316,8,2015,1993-11-04,Stanford
00-0032208,Phillip Dorsett,WR,DEN,70,192,8,2015,1993-01-05,Miami
00-0032210,Frank Clark,LB,SEA,75,260,8,2015,1993-06-14,Michigan
00-0032211,Tyler Lockett,WR,SEA,70,182,8,2015,1992-09-28,Kansas State
00-0032214,Tyler Kroft,TE,MIA,78,250,8,2015,1992-10-15,Rutgers
00-0032215,Damien Wilson,LB,DAL,72,243,8,2015,1993-05-28,Minnesota
00-0032217,Donovan Smith,OL,KC,78,338,8,2015,1993-06-23,Penn State
00-0032222,D.J. Humphries,OL,ARI,77,307,8,2015,1993-12-28,Florida
00-0032228,Joe Cardona,LS,NE,75,245,8,2015,1992-04-16,Navy
00-0032233,Cedric Ogbuehi,OL,NYJ,77,310,8,2015,1992-04-25,Texas A&amp;M
00-0032234,Laken Tomlinson,OL,NYJ,75,312,8,2015,1992-02-09,Duke
00-0032242,Rob Havenstein,OL,LA,80,328,8,2015,1992-05-13,Wisconsin
00-0032245,Sean Mannion,QB,SEA,78,231,8,2015,1992-04-25,Oregon State
00-0032265,Mario Edwards,DL,SEA,75,280,8,2015,1994-01-25,Florida State
00-0032268,Marcus Mariota,QB,PHI,76,222,8,2015,1993-10-30,Oregon
00-0032269,Henry Anderson,DL,CAR,78,301,8,2015,1991-08-03,Stanford
00-0032320,Erik Harris,DB,SF,74,220,7,2016,1990-04-02,"California, Pa."
00-0032366,Tyler Matakevich,LB,BUF,73,235,7,2016,1992-12-22,Temple
00-0032378,DeForest Buckner,DL,IND,79,300,7,2016,1994-03-17,Oregon
00-0032379,Eli Apple,DB,MIA,73,203,7,2016,1995-08-09,Ohio State
00-0032380,Laremy Tunsil,OL,HOU,77,313,7,2016,1994-08-02,Mississippi
00-0032381,Taylor Decker,OL,DET,79,318,7,2016,1993-08-23,Ohio State
00-0032382,Keanu Neal,DB,PIT,72,216,7,2016,1995-07-26,Florida
00-0032383,Ryan Kelly,OL,IND,76,309,7,2016,1993-05-30,Alabama
00-0032384,Germain Ifedi,OL,BUF,77,325,7,2016,1994-06-02,Texas A&amp;M
00-0032385,Sterling Shepard,WR,NYG,70,201,7,2016,1993-02-10,Oklahoma
00-0032387,Jarran Reed,DL,SEA,75,306,7,2016,1992-12-16,Alabama
00-0032388,Deion Jones,LB,CAR,73,227,7,2016,1994-11-04,Louisiana State
00-0032391,Joe Thuney,OL,KC,77,308,7,2016,1992-11-18,North Carolina State
00-0032392,Austin Hooper,TE,LV,76,254,7,2016,1994-10-29,Stanford
00-0032394,Nick Vannett,TE,LAC,78,261,7,2016,1993-03-06,Ohio State
00-0032395,Graham Glasgow,OL,DET,78,310,7,2016,1992-08-19,Michigan
00-0032398,Chris Moore,WR,TEN,73,200,7,2016,1993-06-16,Cincinnati
00-0032399,Miles Killebrew,DB,PIT,74,222,7,2016,1993-05-10,Southern Utah
00-0032401,De'Vondre Campbell,LB,GB,75,232,7,2016,1993-07-01,Minnesota
00-0032402,Hassan Ridgeway,DL,HOU,75,305,7,2016,1994-11-02,Texas
00-0032408,Blake Martinez,LB,PIT,74,237,7,2016,1994-01-09,Stanford
00-0032412,Dean Lowry,DL,MIN,78,296,7,2016,1994-06-09,Northwestern
00-0032415,Matt Judon,LB,NE,75,261,7,2016,1992-08-15,Grand Valley State
00-0032416,Quinton Jefferson,DL,NYJ,76,291,7,2016,1993-03-31,Maryland
00-0032420,Brandon Shell,OL,BUF,77,324,7,2016,1992-02-06,South Carolina
00-0032424,D.J. Reader,DL,CIN,75,347,7,2016,1994-07-01,Clemson
00-0032432,Wes Schweitzer,OL,NYJ,76,314,7,2016,1993-09-11,San Jose State
00-0032434,Brandon Allen,QB,SF,74,209,7,2016,1992-09-05,Arkansas
00-0032436,Jeff Driskel,QB,CLE,76,235,7,2016,1993-04-23,Louisiana Tech
00-0032437,Kamu Grugier-Hill,LB,CAR,74,230,7,2016,1994-05-16,Eastern Illinois
